iter	Passed	Remaining
405	7403	1714
406	7421	1695
407	7439	1677
408	7457	1659
409	7475	1640
410	7493	1622
411	7510	1604
412	7528	1585
413	7546	1567
414	7564	1549
415	7582	1531
416	7600	1512
417	7617	1494
418	7635	1476
419	7653	1457
420	7671	1439
421	7689	1421
422	7707	1402
423	7724	1384
424	7742	1366
425	7760	1348
426	7778	1329
427	7796	1311
428	7814	1293
429	7831	1274
430	7849	1256
431	7867	1238
432	7885	1220
433	7903	1201
434	7921	1183
435	7938	1165
436	7956	1147
437	7974	1128
438	7992	1110
439	8010	1092
440	8028	1074
441	8045	1055
442	8063	1037
443	8081	1019
444	8099	1001
445	8117	982
446	8135	964
447	8152	946
448	8170	928
449	8188	909
450	8206	891
451	8224	873
452	8241	855
453	8259	836
454	8277	818
455	8295	800
456	8313	782
457	8331	763
458	8348	745
459	8366	727
460	8384	709
461	8402	691
462	8420	672
463	8438	654
464	8455	636
465	8473	618
466	8491	600
467	8509	581
468	8527	563
469	8545	545
470	8562	527
471	8580	509
472	8598	490
473	8616	472
474	8634	454
475	8652	436
476	8670	418
477	8687	399
478	8705	381
479	8723	363
480	8741	345
481	8759	327
482	8777	308
483	8795	290
484	8813	272
485	8830	254
486	8848	236
487	8866	218
488	8884	199
489	8902	181
490	8920	163
491	8938	145
492	8956	127
493	8974	108
494	8992	90
495	9010	72
496	9028	54
497	9045	36
498	9063	18
499	9081	0
